|----|;|----|;|----|;|----|;|----|;[IIII];[-ef-];[IIII];
|----|;|----|;|----|;|----|;|----|;[IIII];[tle-];[IIII];
|----|;|----|;|----|;|----|;|----|;[IIII];[izue];[IIII];
|----|;|----|;|----|;|----|;|----|;[IIII];[qztl];[IIII];
|----|;|----|;|----|;|----|;|----|;[IIII];[rvww];[IIII];
|----|;|----|;|----|;|----|;|----|;[IIII];[gznn];[IIII];
|----|;|----|;|----|;|----|;|----|;[IIII];[gtui];[IIII];
|----|;|----|;|----|;|----|;|----|;[IIII];[guzd];[IIII];
|----|;|----|;|----|;|----|;|----|;[IIII];[goed];[IIII];
|----|;|----|;|----|;|----|;|----|;[IIII];[good];[IIII];
