|----|;|----|;|----|;|----|;|----|;[IIII];[-ef-];[IIII];|----|;|----|;|----|;|----|;|----|
|----|;|----|;|----|;|----|;|----|;[IIII];[tle-];[IIII];|----|;|----|;|----|;|----|;|----|
|----|;|----|;|----|;|----|;|----|;[IIII];[izue];[IIII];|----|;|----|;|----|;|----|;|----|
|----|;|----|;|----|;|----|;|----|;[IIII];[qztl];[IIII];|----|;|----|;|----|;|----|;|----|
|----|;|----|;|----|;|----|;|----|;[IIII];[rvww];[IIII];|----|;|----|;|----|;|----|;|----|
|----|;|----|;|----|;|----|;|----|;[IIII];[gznn];[IIII];|----|;|----|;|----|;|----|;|----|
|----|;|----|;|----|;|----|;|----|;[IIII];[btui];[IIII];|----|;|----|;|----|;|----|;|----|
|----|;|----|;|----|;|----|;|----|;[IIII];[buz-];[IIII];|----|;|----|;|----|;|----|;|----|
|----|;|----|;|----|;|----|;|----|;[IIII];[bod-];[IIII];|----|;|----|;|----|;|----|;|----|
|----|;|----|;|----|;|----|;|----|;[IIII];[bad-];[IIII];|----|;|----|;|----|;|----|;|----|
